NOC,Event,medalcount
GER,Rowing Women's Single Sculls,2
GER,Sailing Mixed Multihull,1
GER,Sailing Mixed Three Person Keelboat,1
GER,Sailing Women's Windsurfer,1
GER,Swimming Men's 100 metres Backstroke,1
GER,Swimming Men's 4 x 100 metres Medley Relay,2
GER,Swimming Women's 4 x 200 metres Freestyle Relay,2
GER,Taekwondo Men's Welterweight,1
GER,Tennis Men's Singles,1
GER,Triathlon Men's Olympic Distance,2
GER,Weightlifting Men's Light-Heavyweight,1
GER,Weightlifting Men's Super-Heavyweight,2
GRE,Athletics Men's 200 metres,1
GRE,Athletics Women's 100 metres,1
GRE,Athletics Women's Discus Throw,2
GRE,Athletics Women's Javelin Throw,2
GRE,Gymnastics Men's Rings,3
GRE,Rhythmic Gymnastics Women's Group,1
GRE,Taekwondo Men's Flyweight,1
GRE,Weightlifting Men's Featherweight,1
GRE,Weightlifting Men's Light-Heavyweight,2
GRE,Weightlifting Men's Middle-Heavyweight,1
GRE,Weightlifting Men's Middleweight,1
GRE,Weightlifting Women's Middleweight,1
GRE,"Wrestling Men's Bantamweight, Freestyle",1
HUN,Boxing Men's Middleweight,1
HUN,"Canoeing Men's Canadian Doubles, 500 metres",1
HUN,"Canoeing Men's Canadian Singles, 500 metres",1
HUN,"Canoeing Men's Kayak Doubles, 1,000 metres",2
HUN,"Canoeing Men's Kayak Doubles, 500 metres",1
HUN,"Canoeing Men's Kayak Fours, 1,000 metres",3
HUN,"Canoeing Women's Kayak Doubles, 500 metres",5
HUN,"Canoeing Women's Kayak Fours, 500 metres",5
HUN,"Fencing Women's epee, Individual",4
HUN,Gymnastics Men's Rings,1
HUN,Handball Women's Handball,1
HUN,Modern Pentathlon Men's Individual,2
HUN,Shooting Women's Skeet,2
HUN,Swimming Women's 200 metres Breaststroke,1
HUN,Water Polo Men's Water Polo,3
HUN,Weightlifting Women's Light-Heavyweight,2
HUN,"Wrestling Men's Light-Heavyweight, Greco-Roman",2
INA,Badminton Men's Doubles,3
INA,Badminton Men's Singles,3
INA,Badminton Mixed Doubles,3
INA,Weightlifting Women's Featherweight,2
INA,Weightlifting Women's Flyweight,3
IND,Weightlifting Women's Light-Heavyweight,1
IRI,Taekwondo Men's Featherweight,3
IRI,Weightlifting Men's Heavyweight,2
IRI,Weightlifting Men's Super-Heavyweight,4
IRI,"Wrestling Men's Featherweight, Freestyle",2
IRL,"Athletics Women's 5,000 metres",1
ISL,Athletics Women's Pole Vault,1
ISR,"Canoeing Men's Kayak Singles, 500 metres",1
ITA,Archery Men's Team,3
ITA,Athletics Men's Hammer Throw,1
ITA,Athletics Women's Long Jump,1
ITA,Boxing Men's Super-Heavyweight,4
ITA,"Canoeing Men's Kayak Doubles, 1,000 metres",3
ITA,"Canoeing Men's Kayak Singles, Slalom",2
ITA,"Canoeing Women's Kayak Singles, 500 metres",3
ITA,Cycling Men's Madison,1
ITA,"Cycling Women's Mountainbike, Cross-Country",1
ITA,Cycling Women's Points Race,1
ITA,"Fencing Men's epee, Team",3
ITA,"Fencing Men's Foil, Team",3
ITA,"Fencing Women's Foil, Individual",10
ITA,"Fencing Women's Foil, Team",3
ITA,Judo Men's Half-Lightweight,2
ITA,Judo Men's Lightweight,1
ITA,Judo Women's Half-Heavyweight,2
ITA,Judo Women's Middleweight,1
ITA,Rowing Men's Coxless Fours,3
ITA,Rowing Men's Double Sculls,3
ITA,Rowing Men's Lightweight Double Sculls,1
ITA,Rowing Men's Quadruple Sculls,2
ITA,Sailing Men's One Person Dinghy,2
ITA,Sailing Women's Windsurfer,3
ITA,Shooting Men's Trap,5
ITA,Shooting Women's Double Trap,1
ITA,Swimming Men's 100 metres Breaststroke,1
ITA,Swimming Men's 200 metres Breaststroke,2
ITA,Swimming Men's 200 metres Freestyle,1
ITA,Swimming Men's 200 metres Individual Medley,1
ITA,Swimming Men's 400 metres Freestyle,2
ITA,Volleyball Men's Volleyball,4
JAM,Athletics Men's 4 x 400 metres Relay,2
JAM,Athletics Men's 400 metres,1
JAM,Athletics Women's 100 metres,9
JAM,Athletics Women's 200 metres,6
JAM,Athletics Women's 4 x 100 metres Relay,4
JAM,Athletics Women's 4 x 400 metres Relay,5
JAM,Athletics Women's 400 metres,3
JAM,Athletics Women's 400 metres Hurdles,2
JPN,Athletics Women's Marathon,2
JPN,Judo Men's Extra-Lightweight,4
JPN,Judo Men's Half-Heavyweight,2
JPN,Judo Men's Half-Middleweight,2
JPN,Judo Men's Heavyweight,4
JPN,Judo Women's Extra-Lightweight,4
JPN,Judo Women's Half-Lightweight,4
JPN,Judo Women's Heavyweight,5
JPN,Judo Women's Lightweight,3
JPN,Softball Women's Softball,3
JPN,Swimming Women's 100 metres Backstroke,2
JPN,Swimming Women's 200 metres Backstroke,3
JPN,Swimming Women's 4 x 100 metres Medley Relay,2
JPN,Swimming Women's 400 metres Individual Medley,1
JPN,Synchronized Swimming Women's Duet,4
JPN,Synchronized Swimming Women's Team,3
JPN,Taekwondo Women's Welterweight,1
JPN,"Wrestling Men's Welterweight, Greco-Roman",1
KAZ,Athletics Women's 100 metres Hurdles,1
KAZ,Boxing Men's Featherweight,1
KAZ,Boxing Men's Flyweight,1
KAZ,Boxing Men's Light-Middleweight,1
KAZ,Boxing Men's Super-Heavyweight,3
KAZ,"Cycling Men's Road Race, Individual",2
KAZ,"Wrestling Men's Heavyweight, Freestyle",2
KEN,"Athletics Men's 1,500 metres",4
KEN,"Athletics Men's 10,000 metres",3
KEN,"Athletics Men's 3,000 metres Steeplechase",10
KEN,Athletics Men's Marathon,5
KEN,Athletics Women's Marathon,5
KGZ,Judo Men's Extra-Lightweight,1
KOR,Archery Men's Team,5
KOR,Archery Women's Individual,10
KOR,Archery Women's Team,5
KOR,Badminton Men's Doubles,6
KOR,Baseball Men's Baseball,2
KOR,"Fencing Men's epee, Individual",3
KOR,"Fencing Men's Foil, Individual",2
KOR,Gymnastics Men's Horizontal Bar,1
KOR,Gymnastics Men's Parallel Bars,2
KOR,Hockey Men's Hockey,1
KOR,Judo Men's Extra-Lightweight,3
KOR,Judo Men's Half-Middleweight,3
KOR,Judo Women's Half-Middleweight,1
KOR,Judo Women's Heavyweight,1
KOR,Judo Women's Middleweight,1
KOR,"Shooting Women's Air Rifle, 10 metres",1
KOR,Table Tennis Women's Doubles,2
KOR,Taekwondo Men's Featherweight,4
KOR,Taekwondo Men's Heavyweight,4
KOR,Taekwondo Women's Featherweight,3
KOR,Taekwondo Women's Welterweight,5
KOR,"Wrestling Men's Bantamweight, Greco-Roman",1
KOR,"Wrestling Men's Featherweight, Greco-Roman",2
KOR,"Wrestling Men's Lightweight, Freestyle",1
KOR,"Wrestling Men's Middleweight, Freestyle",1
KSA,Athletics Men's 400 metres Hurdles,1
KSA,"Equestrianism Mixed Jumping, Individual",1
KUW,Shooting Men's Double Trap,1
LAT,Athletics Men's 50 kilometres Walk,1
LAT,Gymnastics Men's Floor Exercise,1
LAT,Judo Men's Lightweight,1
LTU,Athletics Men's Discus Throw,3
LTU,Basketball Men's Basketball,1
LTU,"Cycling Women's Road Race, Individual",1
LTU,Rowing Women's Double Sculls,2
LTU,Shooting Women's Trap,1
MDA,Boxing Men's Welterweight,1
MDA,"Shooting Men's Running Target, 10 metres",1
MEX,Athletics Men's 20 kilometres Walk,1
MEX,Athletics Men's 50 kilometres Walk,1
MEX,Boxing Men's Lightweight,1
MEX,Diving Men's Springboard,1
MEX,Taekwondo Men's Welterweight,1
MEX,Weightlifting Women's Lightweight,1
MKD,"Wrestling Men's Light-Heavyweight, Freestyle",1
MOZ,Athletics Women's 800 metres,1
NED,Archery Men's Individual,1
NED,"Cycling Women's Individual Pursuit, 3,000 metres",2
NED,Cycling Women's Individual Time Trial,3
NED,Cycling Women's Points Race,2
NED,"Cycling Women's Road Race, Individual",3
NED,"Equestrianism Mixed Dressage, Individual",4
NED,"Equestrianism Mixed Dressage, Team",3
NED,"Equestrianism Mixed Jumping, Individual",3
NED,Hockey Men's Hockey,3
NED,Hockey Women's Hockey,5
NED,Judo Men's Middleweight,2
NED,Rowing Men's Quadruple Sculls,1
NED,Rowing Women's Coxed Eights,4
NED,Rowing Women's Double Sculls,1
NED,Sailing Women's One Person Dinghy,3
NED,Swimming Men's 100 metres Freestyle,2
NED,Swimming Men's 200 metres Freestyle,2
NED,Swimming Men's 4 x 200 metres Freestyle Relay,1
NED,Swimming Men's 50 metres Freestyle,1
NED,Swimming Women's 100 metres Butterfly,2
NED,Swimming Women's 100 metres Freestyle,3
NED,Swimming Women's 4 x 100 metres Freestyle Relay,4
NED,Swimming Women's 50 metres Freestyle,4
NED,Tennis Women's Doubles,1
NGR,Athletics Men's 4 x 400 metres Relay,2
NGR,Athletics Women's 100 metres Hurdles,1
NGR,Weightlifting Women's Heavyweight,1
NOR,Athletics Women's 20 kilometres Walk,2
NOR,Athletics Women's Javelin Throw,1
NOR,"Canoeing Men's Kayak Singles, 1,000 metres",4
NOR,"Canoeing Men's Kayak Singles, 500 metres",1
NOR,Football Women's Football,1
NOR,Handball Women's Handball,4
NOR,Rowing Men's Double Sculls,2
NOR,Sailing Mixed Three Person Keelboat,1
NOR,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1
NOR,Taekwondo Women's Welterweight,1
NZL,"Equestrianism Mixed Three-Day Event, Individual",1
NZL,Rowing Men's Single Sculls,4
NZL,Sailing Men's Windsurfer,2
NZL,Sailing Women's Windsurfer,1
POL,Athletics Men's 20 kilometres Walk,1
POL,Athletics Men's 50 kilometres Walk,2
POL,Athletics Men's Hammer Throw,2
POL,Athletics Women's Hammer Throw,3
POL,"Canoeing Men's Canadian Doubles, 500 metres",1
POL,"Canoeing Men's Canadian Doubles, Slalom",1
POL,"Canoeing Men's Kayak Fours, 1,000 metres",1
POL,"Canoeing Women's Kayak Doubles, 500 metres",5
POL,"Fencing Women's Foil, Team",1
POL,Gymnastics Men's Horse Vault,2
POL,Rowing Men's Lightweight Double Sculls,2
POL,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",1
POL,Weightlifting Men's Middle-Heavyweight,2
POL,Weightlifting Women's Super-Heavyweight,2
POR,"Athletics Women's 10,000 metres",1
POR,Judo Men's Half-Middleweight,1
PRK,Boxing Men's Light-Flyweight,1
PRK,Judo Women's Half-Lightweight,3
PRK,Weightlifting Women's Lightweight,3
PRK,"Wrestling Men's Bantamweight, Greco-Roman",1
QAT,Weightlifting Men's Heavyweight,1
ROU,"Athletics Women's 1,500 metres",3
ROU,"Athletics Women's 5,000 metres",1
ROU,Athletics Women's High Jump,1
ROU,Athletics Women's Marathon,2
ROU,Boxing Men's Light-Middleweight,1
ROU,Boxing Men's Welterweight,1
ROU,"Canoeing Men's Canadian Doubles, 1,000 metres",1
ROU,"Canoeing Men's Canadian Doubles, 500 metres",1
ROU,"Canoeing Women's Kayak Fours, 500 metres",1
ROU,"Fencing Men's Sabre, Individual",2
ROU,Gymnastics Men's Pommelled Horse,2
ROU,Gymnastics Women's Floor Exercise,5
ROU,Gymnastics Women's Horse Vault,3
ROU,Gymnastics Women's Individual All-Around,2
ROU,Gymnastics Women's Team All-Around,4
ROU,Judo Women's Half-Heavyweight,1
ROU,Rowing Women's Coxed Eights,4
ROU,Rowing Women's Coxless Pairs,3
ROU,Rowing Women's Lightweight Double Sculls,2
ROU,"Shooting Men's Rapid-Fire Pistol, 25 metres",1
