NOC,Year,Sport,Event,Host,Bronze,Gold,Silver,Country,Tier
ARG,1924,Athletics,Athletics Men's Triple Jump,FRA,0.0,0.0,1,Argentina,3
ARG,1924,Boxing,Boxing Men's Featherweight,FRA,1.0,0.0,0,Argentina,3
ARG,1924,Boxing,Boxing Men's Heavyweight,FRA,1.0,0.0,0,Argentina,3
ARG,1924,Boxing,Boxing Men's Lightweight,FRA,0.0,0.0,1,Argentina,3
ARG,1924,Boxing,Boxing Men's Welterweight,FRA,0.0,0.0,1,Argentina,3
ARG,1924,Polo,Polo Men's Polo,FRA,0.0,1.0,0,Argentina,3
ARG,1928,Boxing,Boxing Men's Featherweight,NED,0.0,0.0,1,Argentina,3
ARG,1928,Boxing,Boxing Men's Heavyweight,NED,0.0,1.0,0,Argentina,3
ARG,1928,Boxing,Boxing Men's Light-Heavyweight,NED,0.0,1.0,0,Argentina,3
ARG,1928,Boxing,Boxing Men's Welterweight,NED,0.0,0.0,1,Argentina,3
ARG,1928,Fencing,Fencing Men's Foil Team,NED,1.0,0.0,0,Argentina,3
ARG,1928,Football,Football Men's Football,NED,0.0,0.0,1,Argentina,3
ARG,1928,Swimming,Swimming Men's 400 metres Freestyle,NED,0.0,1.0,0,Argentina,3
ARG,1932,Athletics,Athletics Men's Marathon,USA,0.0,1.0,0,Argentina,3
ARG,1932,Boxing,Boxing Men's Featherweight,USA,0.0,1.0,0,Argentina,3
ARG,1932,Boxing,Boxing Men's Heavyweight,USA,0.0,1.0,0,Argentina,3
ARG,1932,Boxing,Boxing Men's Middleweight,USA,0.0,0.0,1,Argentina,3
ARG,1936,Boxing,Boxing Men's Featherweight,GER,0.0,1.0,0,Argentina,3
ARG,1936,Boxing,Boxing Men's Heavyweight,GER,0.0,0.0,1,Argentina,3
ARG,1936,Boxing,Boxing Men's Light-Heavyweight,GER,1.0,0.0,0,Argentina,3
ARG,1936,Boxing,Boxing Men's Middleweight,GER,1.0,0.0,0,Argentina,3
ARG,1936,Polo,Polo Men's Polo,GER,0.0,1.0,0,Argentina,3
ARG,1936,Rowing,Rowing Men's Coxless Pairs,GER,1.0,0.0,0,Argentina,3
ARG,1936,Swimming,Swimming Women's 100 metres Freestyle,GER,0.0,0.0,1,Argentina,3
ARG,1948,Athletics,Athletics Men's Marathon,GBR,0.0,1.0,0,Argentina,3
ARG,1948,Athletics,Athletics Women's Long Jump,GBR,0.0,0.0,1,Argentina,3
ARG,1948,Boxing,Boxing Men's Flyweight,GBR,0.0,1.0,0,Argentina,3
ARG,1948,Boxing,Boxing Men's Heavyweight,GBR,0.0,1.0,0,Argentina,3
ARG,1948,Boxing,Boxing Men's Light-Heavyweight,GBR,1.0,0.0,0,Argentina,3
ARG,1948,Sailing,Sailing Mixed 6 metres,GBR,0.0,0.0,1,Argentina,3
ARG,1948,Shooting,Shooting Men's Rapid-Fire Pistol 25 metres,GBR,0.0,0.0,1,Argentina,3
ARG,1952,Athletics,Athletics Men's Marathon,FIN,0.0,0.0,1,Argentina,3
ARG,1952,Boxing,Boxing Men's Light-Heavyweight,FIN,0.0,0.0,1,Argentina,3
ARG,1952,Boxing,Boxing Men's Light-Middleweight,FIN,1.0,0.0,0,Argentina,3
ARG,1952,Rowing,Rowing Men's Double Sculls,FIN,0.0,1.0,0,Argentina,3
ARG,1952,Weightlifting,Weightlifting Men's Heavyweight,FIN,1.0,0.0,0,Argentina,3
ARG,1956,Boxing,Boxing Men's Middleweight,AUS,1.0,0.0,0,Argentina,3
ARG,1956,Weightlifting,Weightlifting Men's Heavyweight,AUS,0.0,0.0,1,Argentina,3
ARG,1960,Boxing,Boxing Men's Lightweight,ITA,1.0,0.0,0,Argentina,3
ARG,1960,Sailing,Sailing Mixed Three Person Keelboat,ITA,0.0,0.0,1,Argentina,3
ARG,1964,Equestrianism,Equestrianism Mixed Three-Day Event Individual,JPN,0.0,0.0,1,Argentina,3
ARG,1968,Boxing,Boxing Men's Welterweight,MEX,1.0,0.0,0,Argentina,3
ARG,1968,Rowing,Rowing Men's Single Sculls,MEX,1.0,0.0,0,Argentina,3
ARG,1972,Rowing,Rowing Men's Single Sculls,FRG,0.0,0.0,1,Argentina,3
ARG,1988,Tennis,Tennis Women's Singles,KOR,0.0,0.0,1,Argentina,3
ARG,1988,Volleyball,Volleyball Men's Volleyball,KOR,1.0,0.0,0,Argentina,3
ARG,1992,Tennis,Tennis Men's Doubles,ESP,1.0,0.0,0,Argentina,3
ARG,1996,Boxing,Boxing Men's Featherweight,USA,1.0,0.0,0,Argentina,3
ARG,1996,Football,Football Men's Football,USA,0.0,0.0,1,Argentina,3
ARG,1996,Sailing,Sailing Men's Windsurfer,USA,0.0,0.0,1,Argentina,3
ARG,2000,Hockey,Hockey Women's Hockey,AUS,0.0,0.0,1,Argentina,3
ARG,2000,Sailing,Sailing Men's Two Person Dinghy,AUS,1.0,0.0,0,Argentina,3
ARG,2000,Sailing,Sailing Men's Windsurfer,AUS,0.0,0.0,1,Argentina,3
ARG,2000,Sailing,Sailing Women's One Person Dinghy,AUS,1.0,0.0,0,Argentina,3
ARG,2004,Basketball,Basketball Men's Basketball,GRE,0.0,1.0,0,Argentina,3
ARG,2004,Football,Football Men's Football,GRE,0.0,1.0,0,Argentina,3
ARG,2004,Hockey,Hockey Women's Hockey,GRE,1.0,0.0,0,Argentina,3
ARG,2004,Sailing,Sailing Mixed Multihull,GRE,1.0,0.0,0,Argentina,3
ARG,2004,Swimming,Swimming Women's 400 metres Individual Medley,GRE,1.0,0.0,0,Argentina,3
ARG,2004,Tennis,Tennis Women's Doubles,GRE,1.0,0.0,0,Argentina,3
ARG,2008,Basketball,Basketball Men's Basketball,CHN,1.0,0.0,0,Argentina,3
ARG,2008,Cycling,Cycling Men's Madison,CHN,0.0,1.0,0,Argentina,3
ARG,2008,Football,Football Men's Football,CHN,0.0,1.0,0,Argentina,3
ARG,2008,Hockey,Hockey Women's Hockey,CHN,1.0,0.0,0,Argentina,3
ARG,2008,Judo,Judo Women's Extra-Lightweight,CHN,1.0,0.0,0,Argentina,3
ARG,2008,Sailing,Sailing Mixed Multihull,CHN,1.0,0.0,0,Argentina,3
ARG,2012,Hockey,Hockey Women's Hockey,GBR,0.0,0.0,1,Argentina,3
ARG,2012,Sailing,Sailing Men's Two Person Dinghy,GBR,1.0,0.0,0,Argentina,3
ARG,2012,Taekwondo,Taekwondo Men's Welterweight,GBR,0.0,1.0,0,Argentina,3
ARG,2012,Tennis,Tennis Men's Singles,GBR,1.0,0.0,0,Argentina,3
ARG,2016,Hockey,Hockey Men's Hockey,BRA,0.0,1.0,0,Argentina,3
ARG,2016,Judo,Judo Women's Extra-Lightweight,BRA,0.0,1.0,0,Argentina,3
ARG,2016,Sailing,Sailing Mixed Multihull,BRA,0.0,1.0,0,Argentina,3
ARG,2016,Tennis,Tennis Men's Singles,BRA,0.0,0.0,1,Argentina,3
ARG,2020,Hockey,Women Team,JPN,0.0,0.0,1,Argentina,3
ARG,2020,Rugby Sevens,Men Team,JPN,1.0,0.0,0,Argentina,3
ARG,2020,Volleyball,Men Team,JPN,1.0,0.0,0,Argentina,3
ARG,2024,Cycling BMX Freestyle,Men's Park,FRA,0.0,1.0,0,Argentina,3
ARG,2024,Hockey,Women,FRA,1.0,0.0,0,Argentina,3
ARG,2024,Sailing,Mixed Multihull,FRA,0.0,0.0,1,Argentina,3
ARM,1996,Wrestling,Wrestling Men's Flyweight Greco-Roman,USA,0.0,1.0,0,Armenia,2
ARM,1996,Wrestling,Wrestling Men's Light-Flyweight Freestyle,USA,0.0,0.0,1,Armenia,2
ARM,2000,Weightlifting,Weightlifting Men's Middleweight,AUS,1.0,0.0,0,Armenia,2
ARM,2008,Boxing,Boxing Men's Lightweight,CHN,1.0,0.0,0,Armenia,2
ARM,2008,Weightlifting,Weightlifting Men's Light-Heavyweight,CHN,1.0,0.0,0,Armenia,2
ARM,2008,Weightlifting,Weightlifting Men's Lightweight,CHN,1.0,0.0,0,Armenia,2
ARM,2008,Weightlifting,Weightlifting Men's Middleweight,CHN,1.0,0.0,0,Armenia,2
ARM,2008,Wrestling,Wrestling Men's Featherweight Greco-Roman,CHN,1.0,0.0,0,Armenia,2
ARM,2008,Wrestling,Wrestling Men's Super-Heavyweight Greco-Roman,CHN,1.0,0.0,0,Armenia,2
ARM,2012,Weightlifting,Weightlifting Women's Super-Heavyweight,GBR,1.0,0.0,0,Armenia,2
ARM,2012,Wrestling,Wrestling Men's Heavyweight Greco-Roman,GBR,1.0,0.0,0,Armenia,2
ARM,2012,Wrestling,Wrestling Men's Middleweight Greco-Roman,GBR,0.0,0.0,1,Armenia,2
ARM,2016,Weightlifting,Weightlifting Men's Heavyweight,BRA,0.0,0.0,1,Armenia,2
ARM,2016,Weightlifting,Weightlifting Men's Super-Heavyweight,BRA,0.0,0.0,1,Armenia,2
ARM,2016,Wrestling,Wrestling Men's Heavyweight Greco-Roman,BRA,0.0,1.0,0,Armenia,2
ARM,2016,Wrestling,Wrestling Men's Welterweight Greco-Roman,BRA,0.0,0.0,1,Armenia,2
ARM,2020,Artistic Gymnastics,Men's Vault,JPN,1.0,0.0,0,Armenia,2
ARM,2020,Boxing,Men's Light (57-63kg),JPN,1.0,0.0,0,Armenia,2
ARM,2020,Weightlifting,Men's 109kg,JPN,0.0,0.0,1,Armenia,2
ARM,2020,Wrestling,Men's Greco-Roman 97kg,JPN,0.0,0.0,1,Armenia,2
ARM,2024,Artistic Gymnastics,Men's Vault,FRA,0.0,0.0,1,Armenia,2
ARM,2024,Weightlifting,Men's +102kg,FRA,0.0,0.0,1,Armenia,2
ARM,2024,Wrestling,Men's Greco-Roman 77kg,FRA,1.0,0.0,0,Armenia,2
ARM,2024,Wrestling,Men's Greco-Roman 97kg,FRA,0.0,0.0,1,Armenia,2
AUS,1896,Athletics,Athletics Men's 1500 metres,GRE,0.0,1.0,0,Australia,4
AUS,1896,Athletics,Athletics Men's 800 metres,GRE,0.0,1.0,0,Australia,4
AUS,1896,Tennis,Tennis Men's Doubles,GRE,1.0,0.0,0,Australia,4
AUS,1900,Athletics,Athletics Men's 100 metres,FRA,1.0,0.0,0,Australia,4
AUS,1900,Athletics,Athletics Men's 200 metres,FRA,1.0,0.0,0,Australia,4
AUS,1900,Athletics,Athletics Men's 5000 metres Team,FRA,0.0,1.0,0,Australia,4
AUS,1900,Athletics,Athletics Men's 60 metres,FRA,1.0,0.0,0,Australia,4
AUS,1900,Swimming,Swimming Men's 200 metres Freestyle,FRA,0.0,1.0,0,Australia,4
AUS,1900,Swimming,Swimming Men's 200 metres Obstacle Course,FRA,0.0,1.0,0,Australia,4
AUS,1904,Swimming,Swimming Men's 220 yard Freestyle,USA,0.0,0.0,1,Australia,4
AUS,1904,Swimming,Swimming Men's 440 yard Freestyle,USA,0.0,0.0,1,Australia,4
AUS,1904,Swimming,Swimming Men's 880 yard Freestyle,USA,0.0,0.0,1,Australia,4
AUS,1904,Swimming,Swimming Men's One Mile Freestyle,USA,1.0,0.0,0,Australia,4
AUS,1906,Athletics,Athletics Men's 100 metres,,1.0,0.0,0,Australia,4
AUS,1906,Athletics,Athletics Men's 400 metres,,1.0,0.0,0,Australia,4
AUS,1906,Swimming,Swimming Men's 100 metres Freestyle,,1.0,0.0,0,Australia,4
AUS,1920,Athletics,Athletics Men's 3000 metres Walk,BEL,0.0,0.0,1,Australia,4
AUS,1920,Swimming,Swimming Men's 1500 metres Freestyle,BEL,1.0,0.0,0,Australia,4
AUS,1920,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,BEL,0.0,0.0,1,Australia,4
AUS,1924,Athletics,Athletics Men's Triple Jump,FRA,0.0,1.0,0,Australia,4
AUS,1924,Diving,Diving Men's Plain High,FRA,0.0,1.0,0,Australia,4
AUS,1924,Swimming,Swimming Men's 1500 metres Freestyle,FRA,1.0,1.0,0,Australia,4
AUS,1924,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,FRA,0.0,0.0,1,Australia,4
AUS,1924,Swimming,Swimming Men's 400 metres Freestyle,FRA,1.0,0.0,0,Australia,4
AUS,1928,Cycling,Cycling Men's 1000 metres Time Trial,NED,1.0,0.0,0,Australia,4
AUS,1928,Rowing,Rowing Men's Single Sculls,NED,0.0,1.0,0,Australia,4
AUS,1928,Swimming,Swimming Men's 1500 metres Freestyle,NED,0.0,0.0,1,Australia,4
AUS,1928,Swimming,Swimming Men's 400 metres Freestyle,NED,0.0,0.0,1,Australia,4
AUS,1932,Cycling,Cycling Men's 1000 metres Time Trial,USA,0.0,1.0,0,Australia,4
AUS,1932,Rowing,Rowing Men's Single Sculls,USA,0.0,1.0,0,Australia,4
AUS,1932,Swimming,Swimming Women's 100 metres Backstroke,USA,0.0,0.0,1,Australia,4
AUS,1932,Swimming,Swimming Women's 200 metres Breaststroke,USA,0.0,1.0,0,Australia,4
AUS,1932,Wrestling,Wrestling Men's Light-Heavyweight Freestyle,USA,1.0,0.0,0,Australia,4
AUS,1936,Athletics,Athletics Men's Triple Jump,GER,1.0,0.0,0,Australia,4
AUS,1948,Athletics,Athletics Men's High Jump,GBR,0.0,1.0,0,Australia,4
AUS,1948,Athletics,Athletics Men's Long Jump,GBR,0.0,0.0,1,Australia,4
AUS,1948,Athletics,Athletics Men's Triple Jump,GBR,0.0,0.0,1,Australia,4
AUS,1948,Athletics,Athletics Women's 100 metres,GBR,1.0,0.0,0,Australia,4
AUS,1948,Athletics,Athletics Women's 4 x 100 metres Relay,GBR,0.0,0.0,1,Australia,4
AUS,1948,Athletics,Athletics Women's 80 metres Hurdles,GBR,1.0,0.0,0,Australia,4
AUS,1948,Rowing,Rowing Men's Single Sculls,GBR,0.0,1.0,0,Australia,4
AUS,1948,Swimming,Swimming Men's 1500 metres Freestyle,GBR,0.0,0.0,1,Australia,4
AUS,1948,Swimming,Swimming Men's 400 metres Freestyle,GBR,1.0,0.0,0,Australia,4
AUS,1948,Swimming,Swimming Women's 100 metres Backstroke,GBR,1.0,0.0,0,Australia,4
AUS,1948,Swimming,Swimming Women's 200 metres Breaststroke,GBR,0.0,0.0,1,Australia,4
AUS,1948,Wrestling,Wrestling Men's Heavyweight Freestyle,GBR,1.0,0.0,0,Australia,4
AUS,1948,Wrestling,Wrestling Men's Welterweight Freestyle,GBR,0.0,0.0,1,Australia,4
AUS,1952,Athletics,Athletics Women's 100 metres,FIN,1.0,1.0,0,Australia,4
AUS,1952,Athletics,Athletics Women's 200 metres,FIN,0.0,1.0,0,Australia,4
AUS,1952,Athletics,Athletics Women's 80 metres Hurdles,FIN,0.0,1.0,0,Australia,4
AUS,1952,Cycling,Cycling Men's 1000 metres Time Trial,FIN,0.0,1.0,0,Australia,4
AUS,1952,Cycling,Cycling Men's Sprint,FIN,0.0,0.0,1,Australia,4
AUS,1952,Cycling,Cycling Men's Tandem Sprint 2000 metres,FIN,0.0,1.0,0,Australia,4
AUS,1952,Rowing,Rowing Men's Coxed Eights,FIN,1.0,0.0,0,Australia,4
AUS,1952,Rowing,Rowing Men's Single Sculls,FIN,0.0,0.0,1,Australia,4
AUS,1952,Swimming,Swimming Men's 200 metres Breaststroke,FIN,0.0,1.0,0,Australia,4
AUS,1952,Weightlifting,Weightlifting Men's Lightweight,FIN,1.0,0.0,0,Australia,4
AUS,1956,Athletics,Athletics Men's 1500 metres,AUS,1.0,0.0,0,Australia,4
AUS,1956,Athletics,Athletics Men's 10000 metres,AUS,1.0,0.0,0,Australia,4
AUS,1956,Athletics,Athletics Men's 100 metres,AUS,1.0,0.0,0,Australia,4
AUS,1956,Athletics,Athletics Men's 4 x 400 metres Relay,AUS,0.0,0.0,1,Australia,4
AUS,1956,Athletics,Athletics Men's High Jump,AUS,0.0,0.0,1,Australia,4
AUS,1956,Athletics,Athletics Women's 100 metres,AUS,1.0,1.0,0,Australia,4
AUS,1956,Athletics,Athletics Women's 200 metres,AUS,1.0,1.0,0,Australia,4
AUS,1956,Athletics,Athletics Women's 4 x 100 metres Relay,AUS,0.0,1.0,0,Australia,4
AUS,1956,Athletics,Athletics Women's 80 metres Hurdles,AUS,1.0,1.0,0,Australia,4
AUS,1956,Boxing,Boxing Men's Welterweight,AUS,1.0,0.0,0,Australia,4
AUS,1956,Canoeing,Canoeing Men's Kayak Doubles 10000 metres,AUS,1.0,0.0,0,Australia,4
AUS,1956,Cycling,Cycling Men's Sprint,AUS,1.0,0.0,0,Australia,4
AUS,1956,Cycling,Cycling Men's Tandem Sprint 2000 metres,AUS,0.0,1.0,0,Australia,4
AUS,1956,Rowing,Rowing Men's Coxed Eights,AUS,1.0,0.0,0,Australia,4
AUS,1956,Rowing,Rowing Men's Double Sculls,AUS,1.0,0.0,0,Australia,4
AUS,1956,Rowing,Rowing Men's Single Sculls,AUS,0.0,0.0,1,Australia,4
AUS,1956,Sailing,Sailing Mixed 5.5 metres,AUS,1.0,0.0,0,Australia,4
AUS,1956,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,AUS,0.0,0.0,1,Australia,4
AUS,1956,Swimming,Swimming Men's 1500 metres Freestyle,AUS,0.0,1.0,0,Australia,4
AUS,1956,Swimming,Swimming Men's 100 metres Backstroke,AUS,0.0,1.0,1,Australia,4
AUS,1956,Swimming,Swimming Men's 100 metres Freestyle,AUS,1.0,1.0,1,Australia,4
AUS,1956,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,AUS,0.0,1.0,0,Australia,4
AUS,1956,Swimming,Swimming Men's 400 metres Freestyle,AUS,0.0,1.0,0,Australia,4
AUS,1956,Swimming,Swimming Women's 100 metres Freestyle,AUS,1.0,1.0,1,Australia,4
AUS,1956,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,0.0,1.0,0,Australia,4
AUS,1956,Swimming,Swimming Women's 400 metres Freestyle,AUS,0.0,1.0,1,Australia,4
AUS,1960,Athletics,Athletics Men's 1500 metres,ITA,0.0,1.0,0,Australia,4
AUS,1960,Athletics,Athletics Men's 10000 metres,ITA,1.0,0.0,0,Australia,4
AUS,1960,Athletics,Athletics Men's 20 kilometres Walk,ITA,0.0,0.0,1,Australia,4
AUS,1960,Athletics,Athletics Women's 800 metres,ITA,0.0,0.0,1,Australia,4
AUS,1960,Boxing,Boxing Men's Bantamweight,ITA,1.0,0.0,0,Australia,4
AUS,1960,Boxing,Boxing Men's Light-Heavyweight,ITA,1.0,0.0,0,Australia,4
AUS,1960,Equestrianism,Equestrianism Men's Three-Day Event Individual,ITA,0.0,1.0,1,Australia,4
AUS,1960,Equestrianism,Equestrianism Men's Three-Day Event Team,ITA,0.0,1.0,0,Australia,4
AUS,1960,Swimming,Swimming Men's 1500 metres Freestyle,ITA,0.0,1.0,1,Australia,4
AUS,1960,Swimming,Swimming Men's 100 metres Backstroke,ITA,0.0,1.0,0,Australia,4
AUS,1960,Swimming,Swimming Men's 100 metres Freestyle,ITA,0.0,1.0,0,Australia,4
AUS,1960,Swimming,Swimming Men's 200 metres Butterfly,ITA,0.0,0.0,1,Australia,4
AUS,1960,Swimming,Swimming Men's 4 x 100 metres Medley Relay,ITA,0.0,0.0,1,Australia,4
AUS,1960,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,ITA,1.0,0.0,0,Australia,4
AUS,1960,Swimming,Swimming Men's 400 metres Freestyle,ITA,1.0,1.0,0,Australia,4
AUS,1960,Swimming,Swimming Women's 100 metres Butterfly,ITA,1.0,0.0,0,Australia,4
AUS,1960,Swimming,Swimming Women's 100 metres Freestyle,ITA,0.0,1.0,0,Australia,4
AUS,1960,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,ITA,0.0,0.0,1,Australia,4
AUS,1960,Swimming,Swimming Women's 4 x 100 metres Medley Relay,ITA,0.0,0.0,1,Australia,4
AUS,1964,Athletics,Athletics Men's 10000 metres,JPN,1.0,0.0,0,Australia,4
AUS,1964,Athletics,Athletics Women's 200 metres,JPN,1.0,0.0,0,Australia,4
AUS,1964,Athletics,Athletics Women's 400 metres,JPN,1.0,1.0,0,Australia,4
AUS,1964,Athletics,Athletics Women's 80 metres Hurdles,JPN,1.0,0.0,0,Australia,4
AUS,1964,Athletics,Athletics Women's High Jump,JPN,0.0,0.0,1,Australia,4
AUS,1964,Hockey,Hockey Men's Hockey,JPN,1.0,0.0,0,Australia,4
AUS,1964,Judo,Judo Men's Open Class,JPN,1.0,0.0,0,Australia,4
AUS,1964,Sailing,Sailing Mixed 5.5 metres,JPN,0.0,1.0,0,Australia,4
AUS,1964,Swimming,Swimming Men's 1500 metres Freestyle,JPN,1.0,1.0,0,Australia,4
AUS,1964,Swimming,Swimming Men's 200 metres Breaststroke,JPN,0.0,1.0,0,Australia,4
AUS,1964,Swimming,Swimming Men's 200 metres Butterfly,JPN,0.0,1.0,0,Australia,4
AUS,1964,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,JPN,1.0,0.0,0,Australia,4
AUS,1964,Swimming,Swimming Men's 4 x 100 metres Medley Relay,JPN,1.0,0.0,0,Australia,4
AUS,1964,Swimming,Swimming Men's 400 metres Freestyle,JPN,1.0,0.0,0,Australia,4
AUS,1964,Swimming,Swimming Women's 100 metres Freestyle,JPN,0.0,1.0,0,Australia,4
AUS,1964,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,JPN,0.0,0.0,1,Australia,4
AUS,1968,Athletics,Athletics Men's 200 metres,MEX,0.0,0.0,1,Australia,4
